id,title,cons,unit,text,inputType,disp01,disp02,disp03,disp04,disp05,disp06,disp07,disp08,disp09,disp10,disp11,disp12,disp13,disp14,disp15,disp16,val01,val02,val03,val04,val05,val06,val07,val08,val09,val10,val11,val12,val13,val14,val15,val16
i802,調理の頻度,consCKcook,割,調理の頻度,sel802,選んで下さい,しない,週１食以下,週に2-3食,1日1食,1日2食,1日3食,,,,,,,,,,-1,0,1,2,4,7,10,,,,,,,,,
i811,ジャーの保温,consCKrice,,炊飯ジャーの保温をしていますか,sel811,選んで下さい,していない,6時間程度している,12時間程度している,ほぼ24時間している,,,,,,,,,,,,-1,0,6,12,24,,,,,,,,,,,
i821,ポットの保温,consCKpot,,ポットの保温をしていますか,sel821,選んで下さい,していない,6時間程度している,12時間程度している,ほぼ24時間している,,,,,,,,,,,,-1,0,6,12,24,,,,,,,,,,,
i822,電気ポットの省エネ性,consCKpot,,電気ポットは省エネタイプですか,sel822,選んで下さい,はい,いいえ,わからない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i901,車の保有台数,consCRsum,,車の保有台数,sel901,選んで下さい,持っていない,1台,2台,3台,4台,5台以上,,,,,,,,,,-1,0,1,2,3,4,5,,,,,,,,,
i902,スクータ・バイクの保有台数,consCRsum,,スクータ・バイクの保有台数,sel902,選んで下さい,持っていない,1台,2台,3台,4台,5台以上,,,,,,,,,,-1,0,1,2,3,4,5,,,,,,,,,
i911,車の種類,consCR,,車の種類,sel911,選んで下さい,軽自動車,小型車,バン,3ナンバー,電気自動車,バイク・スクータ,大型バイク,,,,,,,,,-1,1,2,3,4,5,6,7,,,,,,,,
i912,車の燃費,consCR,,車の燃費,sel912,選んで下さい,6km/L以下,7-9km/L,10-12km/L,13-15km/L,16-20km/L,21-26km/L,27-35km/L,36km/L以上,,,,,,,,-1,6,8,11,14,18,23,30,40,,,,,,,
i913,車の主な利用者,consCR,,だれの車ですか。もしくは呼び方があれば記入してください。,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i914,エコタイヤの使用,consCR,,エコタイヤを使っていますか,sel914,選んで下さい,はい,いいえ,わからない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i921,行き先,consCRtrip,,よく出かける行き先,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i922,頻度,consCRtrip,,どの程度車で行きますか,sel922,選んで下さい,毎日,週5回,週2～3回,週1回,月に2回,月1回,２ヶ月に1回,年2-3回,年1回,,,,,,,-1,365,250,120,50,25,12,6,2,1,,,,,,
i923,片道距離,consCRtrip,km,片道距離,sel923,選んで下さい,1km,2km,3km,5km,10km,20km,30km,50km,100km,200km,400km,600km以上,,,,-1,1,2,3,5,10,20,30,50,100,200,400,700,,,
i924,使用する車,consCRtrip,,どの車を主に使いますか,sel924,選んで下さい,1台目,2台目,3台目,4台目,5台目,,,,,,,,,,,-1,1,2,3,4,5,,,,,,,,,,
i931,アイドリングストップ,consCRsum,,長時間の停車でアイドリングストップをしていますか,sel931,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i932,急加速や急発進,consCRsum,,急加速や急発進をしないようにしていますか,sel932,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i933,加減速の少ない運転,consCRsum,,加減速の少ない運転,sel933,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i934,早めのアクセルオフ,consCRsum,,早めのアクセルオフ,sel934,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i935,道路交通情報の活用,consCRsum,,道路交通情報の活用,sel935,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i936, 不要な荷物を積まない,consCRsum,, 不要な荷物は積まずに走行,sel936,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i937,カーエアコンの温度調節,consCRsum,,カーエアコンの温度・風量をこまめに調節していますか,sel937,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i938,暖機運転せずに走行する,consCRsum,,寒い日に暖機運転をしていますか,sel938,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i939,タイヤの空気圧のチェック,consCRsum,,タイヤの空気圧を適切に保つよう心がけていますか,sel939,選んで下さい,いつもしている,時々している,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i221,エアコンの性能,consCOsum,,エアコンの省エネ性能は良いですか（1級ですか）,sel221,選んで下さい,とてもよい,ふつう,あまりよくない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i121,温水器の性能,consHWsum,,温水器の省エネ性能は良いですか。（1級ですか）,sel121,選んで下さい,とてもよい,ふつう,あまりよくない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i621,テレビの性能,consTVsum,,テレビの省エネ性能は良いですか。（1級ですか）,sel621,選んで下さい,とてもよい,ふつう,あまりよくない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i421,洗濯機の性能,consDRsum,,洗濯機の省エネ性能は良いですか。（1級ですか）,sel421,選んで下さい,とてもよい,ふつう,あまりよくない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i721,冷蔵庫の性能,consRFsum,,冷蔵庫の省エネ性能は良いですか。（1級ですか）,sel721,選んで下さい,とてもよい,ふつう,あまりよくない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i941,ガソリン車,consCRsum,,ガソリン車を何台お持ちですか,sel941,選んで下さい,1台,2台,3台以上,無し,,,,,,,,,,,,-1,1,2,3,0,,,,,,,,,,,
i942,ハイブリッド車,consCRsum,,ハイブリッド車を何台お持ちですか,sel942,選んで下さい,1台,2台,3台以上,無し,,,,,,,,,,,,-1,1,2,3,0,,,,,,,,,,,
i943,電気自動車,consCRsum,,電気自動車を何台お持ちですか,sel943,選んで下さい,1台,2台,3台以上,無し,,,,,,,,,,,,-1,1,2,3,0,,,,,,,,,,,
i951,太陽光発電の設置可能容量,consEnergy,kW,設置可能な太陽光発電装置のサイズを選んで下さい。,sel951,選んで下さい,すでに設置している/設置できない,1kW（6畳程度）,2kW（12畳程度）,3kW（18畳程度）,4kW（25畳程度）,5kW（30畳程度）,6kW(（35畳程度）,7kW（40畳程度）,8kW（50畳程度）,9kW（55畳程度）,10kW（60畳程度）,,,,,-1,0,1,2,3,4,5,6,7,8,9,10,,,,
